customer_id,customer_name,gender,birth_year,city,join_date,age,customer_segment
1,Daniel Jackson,Female,1979,Hell's Kitchen,2022-03-11,44,Family
2,Sophia Davis,Female,1976,Lower Manhattan,2021-07-25,47,Family
3,Sarah White,Male,1965,Lower Manhattan,2023-04-14,58,Mature
4,Daniel Thomas,Male,1969,Astoria,2021-07-28,54,Mature
5,James Johnson,Female,1972,Lower Manhattan,2021-04-20,51,Mature
6,Emma Martin,Male,1969,Lower Manhattan,2022-05-08,54,Mature
7,William Jackson,Female,2003,Lower Manhattan,2023-04-08,20,Student
8,David Jackson,Female,1965,Astoria,2021-07-25,58,Mature
9,Emma Johnson,Female,1980,Hell's Kitchen,2023-03-24,43,Family
10,Robert Davis,Male,2005,Astoria,2021-07-27,18,Student
11,Emma Miller,Male,1969,Hell's Kitchen,2023-04-20,54,Mature
12,Michael Harris,Female,1991,Hell's Kitchen,2022-01-23,32,Young Professional
13,William Anderson,Male,1975,Astoria,2022-01-02,48,Family
14,Sarah White,Female,1978,Lower Manhattan,2022-12-20,45,Family
15,Olivia Davis,Male,1983,Lower Manhattan,2022-03-21,40,Family
16,Sarah Brown,Male,1988,Hell's Kitchen,2021-09-12,35,Family
17,Daniel Taylor,Male,1996,Hell's Kitchen,2021-12-10,27,Young Professional
18,Thomas Smith,Male,1990,Lower Manhattan,2021-08-18,33,Young Professional
19,Robert White,Female,1965,Hell's Kitchen,2022-02-13,58,Mature
20,John Anderson,Female,1972,Lower Manhattan,2022-04-03,51,Mature
21,Michael Jackson,Female,1990,Lower Manhattan,2022-09-18,33,Young Professional
22,David Miller,Female,1976,Lower Manhattan,2021-11-18,47,Family
23,Daniel Martin,Male,1967,Hell's Kitchen,2021-09-02,56,Mature
24,Sarah Harris,Male,1987,Astoria,2023-06-13,36,Family
25,David Jackson,Female,1977,Hell's Kitchen,2023-01-21,46,Family
26,William Williams,Male,1999,Astoria,2023-01-05,24,Student
27,Emily Wilson,Male,2001,Astoria,2021-11-21,22,Student
28,Emma Smith,Male,1970,Hell's Kitchen,2021-12-23,53,Mature
29,Olivia Williams,Female,1996,Lower Manhattan,2022-09-08,27,Young Professional
30,William Thomas,Male,2000,Lower Manhattan,2021-04-20,23,Student
31,Thomas Jackson,Male,1991,Hell's Kitchen,2023-06-02,32,Young Professional
32,Emily Martin,Female,1989,Lower Manhattan,2021-07-18,34,Young Professional
33,Sarah Jones,Female,1984,Astoria,2021-08-01,39,Family
34,Thomas Miller,Male,1985,Lower Manhattan,2022-12-15,38,Family
35,Daniel Wilson,Female,1968,Hell's Kitchen,2021-09-11,55,Mature
36,William Williams,Male,1970,Astoria,2022-02-21,53,Mature
37,Sarah Johnson,Male,1993,Astoria,2023-05-14,30,Young Professional
38,David Wilson,Male,1987,Hell's Kitchen,2021-06-27,36,Family
39,John Brown,Male,1972,Lower Manhattan,2021-04-08,51,Mature
40,Olivia Thomas,Male,1979,Lower Manhattan,2022-07-24,44,Family
41,Grace Davis,Female,1991,Lower Manhattan,2021-02-01,32,Young Professional
42,Michael White,Male,1972,Hell's Kitchen,2022-08-06,51,Mature
43,Sophia Thomas,Female,1973,Astoria,2021-08-10,50,Mature
44,Daniel Jones,Male,2001,Astoria,2021-10-27,22,Student
45,William White,Male,1983,Lower Manhattan,2021-12-22,40,Family
46,Sarah White,Female,1983,Lower Manhattan,2021-05-12,40,Family
47,Robert Miller,Female,1968,Astoria,2023-04-01,55,Mature
48,Thomas Jones,Male,1968,Lower Manhattan,2022-05-29,55,Mature
49,James Thomas,Male,1991,Lower Manhattan,2021-11-19,32,Young Professional
50,Sophia Williams,Female,1977,Lower Manhattan,2022-05-29,46,Family
51,Robert Williams,Male,1976,Lower Manhattan,2021-10-20,47,Family
52,Robert Smith,Female,1972,Astoria,2022-02-21,51,Mature
53,William Jackson,Female,1995,Lower Manhattan,2021-05-11,28,Young Professional
54,William Anderson,Male,2003,Hell's Kitchen,2023-06-03,20,Student
55,Emma Thomas,Female,1975,Lower Manhattan,2022-12-11,48,Family
56,John Jackson,Male,1974,Lower Manhattan,2021-10-19,49,Family
57,Olivia Davis,Female,1996,Lower Manhattan,2022-05-13,27,Young Professional
58,Emma Taylor,Female,1985,Lower Manhattan,2022-04-04,38,Family
59,Alex Williams,Female,1997,Hell's Kitchen,2021-02-25,26,Young Professional
60,James Johnson,Female,1995,Hell's Kitchen,2022-08-02,28,Young Professional
61,Sarah Thomas,Female,1997,Astoria,2022-04-18,26,Young Professional
62,Sophia Wilson,Male,1971,Astoria,2022-09-22,52,Mature
63,Robert Taylor,Male,1986,Astoria,2021-08-11,37,Family
64,Daniel Jackson,Male,1982,Astoria,2023-02-10,41,Family
